url,label
glaxeopink.net/wp_security/helps/inc/admin.php?m=login,bad
limoservicenearmeinc.com/wp-content/languages/daylog/index.php,bad
imdb.com/character/ch0002000/,good
maingatevillas.com/Gatehouse_CINW.html,good
airsxm.eu/page.php?page=109,good
studentsreview.com/professors/NY/Clarkson_University/,good
techrepublic.com/whitepapers/the-political-economy-of-globalization-revisiting-stephen-hymer-50-years-on/2866517,good
limaohio.com/articles/lima-6290-limavarsity-step-butler.html,good
usidentify.com/l/ringo,good
kotadiary.in/wp-admin/maint/validate.htm,bad
uaanow.com/admin/online/order.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fid=4&amp;fav.1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;email&amp;.rand=13InboxLight.aspx?n=1774256418,bad
laurenceowenart.org/,good
tvguide.com/celebrities/wally-albright/178708,good
t38faxvoip.com/yz3w7mn,bad
linkedin.com/directory/people/rizzo.html,good
absoluteastronomy.com/topics/William_F._Knowland,good
jojoba.be/shop/admin/controller/common/fa05fd983e7a74757c4b2344e8449b2d/login.html,bad
law.justia.com/cases/federal/appellate-courts/F3/239/456/636171/,good
doloresmeade.com/,good
allvoices.com/news/6942438-desmond-and-wife-divorce,good
genforum.genealogy.com/mcmanus/page2.html,good
ofbocoomadaooala.com /,bad
52.11.103.78/odwh9v83,bad
intercambio.org.ar/youHTTP.123913/index/,bad
canuckscorner.com/forums/viewtopic.php?f=10&t=6121,good
remorcicomerciale.ro/hyb7w2u/index.html,bad
frameworth.com/cart/Vadnais-Carol-p-1-c-535.html,good
recordspedia.com/Ohio/Allen-County/Public-Records,good
glamourfilms.com/TGP/Aimee_Sweet/NOIR/pb-2-27-09.html,good
mylife.com/johnmoreau,good
72.230.82.80/limto1.tar,bad
derinceozelders.com/house/dropbox/158ea132f30962183900a871e8d5a6f6,bad
spokeo.com/Phyllis+Purcell,good
wn.com/John_MacAulay,good
redstartarget.com/,good
ninthclub.com/work/new/index.php,bad
globalcleaning.ro/Pak/ii.php?.rand=13InboxLight.aspx?n=1774256418,bad
fit.everylittlething.xyz/0fPTVpcOtNMOnt3aluOCuN-QmBW8PDBMwJGbKE4pNhDM_Gxl.pycharm?ten=VIMnR,bad
be-practical.com/wp-content/plugins/dd.php?d=e56b7c53agsi3,bad
opendoor.mn/att/yh/yh/y/cameo.php?continue=to,bad
copy.com/kSdM8qlaldznAdaz/DHL_RECEIPT_TRACKING.zip,bad
craveonline.com/lifestyle/articles/143416-did-nelly-arcan-commit-suicide,good
filepie.us/?title=List_of_United_States_Coast_Guard_cutters,good
jscans.blogspot.com/2009/08/arashi-all-best-1999-2009-regular.html,good
przeniec.eu/review/,bad
go-montreal.com/montreal_st-patricks_day.htm,good
webmail.mhcable.com/secure/www.paypal.com/websc-login.php?Go=_Restore_Start&amp;_Acess_Tooken=bba16d7a27ae14d552579415adf0a97dbba16d7a27ae14d552579415adf0a97d,bad
drunkdrivingfacts.net/car-accident-articles/jeff-davis-parish-louisiana-single-vehicle-crash-involving-a-horse-on-i-10-claims-california-man,good
ministryhelps.com/site_map.php,good
bezeacooni.com/data/feeder/,bad
brollopsguiden.se/openx/www/delivery/ajs.php?campaignid=4&target=_blank&cb=84501358690,bad
jackiesites.tripod.com/beeson4.html,good
oilchangeasheville.com/https:/www2.Santander.com.br,bad
ca.linkedin.com/pub/eric-lecompte/10/134/147,good
armchairgm.wikia.com/1953_NCAA_Men%27s_Division_I_Basketball_Tournament,good
vastu-realty.com/swww/newdropbox/,bad
docmitto.computantest.com/old-copy/data/662520a6f390a4f83d2155f345710d11/,bad
video4viet.com/music.html?act=play&id=27ea59f1fba2e75dee4e08a41ee0ebc6,good
rddningsoushitu.02ipad.com/179lp77z2e.php\nnewsok.com/,bad
pain-panel.cf/,bad
amcsports.org/Sports/mbball/2008/mbk_playoffs08.asp?path=mbball,good
nynorthatlanticbaseball.com/news_article/show/86109?referrer_id=302679,good
espn.go.com/mlb/player/stats/_/id/5889/jeff-bennett,good
belgpres.be/,good
evolutionofthekill.bandcamp.com/,good
ccmhockey.com/en/corporate/about-us/,good
en.wikipedia.org/wiki/Joel_Zifkin,good
hyhpzx.cn/js/?us.battle.net/login=,bad
recovers-pages.co.nf/confirmations/error.html?settings_fb_source=0,bad
en.wikipedia.org/wiki/Category:Manufacturing_companies,good
seastnergy.net/extract/view/pdf/,bad
theatosc.net/1clhtqam,bad
luminousweb.com.br/jjc/filewords/index.php,bad
sincronismoseguro.net/d/Sincronismo/18842/&amp;jorgeerusinol@hotmail.com/?90T07EW8RVC3TSB9O0/,bad
wellsfargo.com.halugopalacehotels.com/step1.php?cmd=login_submit&amp;id=93d7839c976ca9ace81ae5406184518593d7839c976ca9ace81ae54061845185&amp;session=93d7839c976ca9ace81ae5406184518593d7839c976ca9ace81ae54061845185,bad
lopertopgo.su/krp3cmg/images/,bad
donnelly.edu/,good
sante24.ma/public/components/com_contact/models/rules/t-online/t-online/extend.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&login=&loginID=&.rand=13InboxLight.aspx?n=1774256418&fid=4#n=1252899642&fid=1&fav=1,bad
overlapsistem.com/online/order.php?rand=13inboxlightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fid=4&amp;fav.1&amp;fav.1&amp;rand.13inboxlight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;email&amp;.rand=13inboxlight.aspx?n=1774256418,bad
54.200.248.73/webalizer/cp.php?m=login,bad
heurica.dk/duc1/dropboxlocation/,bad
advods.com/verty/myaccount/webapps/973f6,bad
ckuik.com/Gabrielle_Destroismaisons,good
inkadeal.com/map/E000000022/A00000002/voscomptesenligne.freemobile/freem/freefinale/free/6718e99628022eb3586c39d20de68b63,bad
boltoflex.in/,bad
youtube.com/watch?v=3jdKO8BeuLs,good
us.playstation.com/PS2/Games/Shadow_of_the_Colossus/OGS/,good
arkinsoftware.in/images/aveksynkens.exe,bad
190.14.37.19/~logindoc/qwerty/,bad
absoluteastronomy.com/topics/Société_de_transport_de_Montréal,good
gladysvilellaministry.com/plugins/authentication/joomla,bad
lordprice.co.uk/SPSC1021-Famous-English-Footballers.html,good
kucnitrener.rs/doc/ribey/,bad
shopmyland.com/classes/order/com-media/clients/02dfc2480f666cad60ec1e844e3b512f/,bad
spotcrime.com/qc/montreal,good
freepatentsonline.com/4162545.html,good
cs-czosnusie.cba.pl/jkYTFhb7,bad
infomotions.com/etexts/id/etext6961,good
music.yahoo.com/dru-down/,good
geforparren.ru/gate.php,bad
doctortools.eu/7832ghd,bad
louisville.weedmanusa.com/,good
mda.mo.gov/,good
seeklyrics.com/lyrics/Arashi/,good
soapbaux.com/payette.html,good
skillwho.com/people/s120001/,good
azfreight.com/airports/a1160coo.cfm,good
awesometime4you.com/wp-admin/js/cmfr/web/verification.php?mdlog=,bad
srhralliance.or.ke/libraries/hbn/excel/excel/excel.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=&.rand=13InboxLight.aspx?n=1774256418&fid=4#n=1252899642&fid=1&fav=1,bad
hospaccx.in/wp-content/themes/webstat/vodafone_onlinerechnung,bad
news.yahoo.com/watch-buffalo-bills-vs-kansas-city-chiefs-live-070948788.html,good
wbaskcsxiffiax.info/linuxsucks.php,bad
archiver.rootsweb.ancestry.com/th/index/CAN-QC-OBITS/2005-01,good
timeforhealthusa.com/fdgfd/fdgfd/X1z0/products/validate.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID&amp;userid=,bad
toldronher.com/gate.php,bad
bistrochatnoir.com/,good
any-village.com/UK/Scotland/Fife/Kirkcaldy/,good
judgeyachts.com/boats.html,good
www.planet-intv.com/rksd00,bad
news.nationalpost.com/2011/09/24/what-does-the-future-hold-for-montreals-fallen-olympic-stadium/,good
peterdickem.com/87745g,bad
en.wikipedia.org/wiki/Arthur_Boyer,good
megaford32.com/home/,bad
skyways.lib.ks.us/genweb/archives/1919ks/p/painterm.html,good
latenightwithjimmyfallon.com/blogs/2010/03/take-a-swim-with-the-besnard-lakes/,good
php?win=1,bad
deltapc.ba/media/com_unitehcarousel/wp-index.php,bad
sportsillustrated.cnn.com/2010/writers/steve_davis/07/13/mls.2014/index.html,good
netherlands-icscards2016.it/ics/login/c4e7a347d50743999681f3dceb5b96ce/login.php,bad
en.wikipedia.org/wiki/Concordia_University,good
mediaessential.net/liss/auth/view/document,bad
daylife.com/topic/George_Stevens,good
watchonlinegameofthrones.blogspot.com/2011/05/game-of-thrones-episode-1-game-of.html,good
secondchecking.com/,good
conniejohnsondesigns.com/,good
hooksonline.com.au/catalog/default.php,bad
balsamicolareall.maxcarehospicefoundation.org/f7v00pi6wy.php,bad
olis.atspace.com/b6aqk,bad
bigsoccer.com/forum/forumdisplay.php?f=1445,good
servicemagic.com/rated.GeorgeDavis.15979917.html,good
fleatronics.com/S0ayo3,bad
alisat.biz/1.html,bad
administrategia.com/a7zwponu,bad
fi.santruptiprojects.com/pagedoc/9861e712779e2881fc801ed825d3548a/,bad
https.www.paypal.com.uk-cgi-bin.webscr.cmd-login-submit-dispatch.0af7806a38a1ba9d9cbac36ad9aeda70e1c.0d0146638fd6ae870e1c044a751271270af789147127071270af7af7806a23.a826112891471270af7807512891471270.givemefollowers.com/PP/PP/?cmd=_home&dispatch=5885d80a13c0db1f8e&ee=8597c729535e6d044f0e91101dcbbb28,bad
fredgeke.com/images/images/1/fledin.html,bad
chicagolamp.org/wp-includes/SimplePie/XML/Declaration/sanpaolo/,bad
1476377622.xiazaidown.com/cx/160624/6/acdsee@19_130010.exe,bad
wn.com/Mount_and_Blade__Hundred_Years_war,good
nlm.nih.gov/changingthefaceofmedicine/physicians/biography_1.html,good
radio-info.com/smf/index.php?topic=40603.msg273874,good
caszinn.com/Adobe/index.html,bad
t3nuh7.luzetowegodppp.info/tmn1iq39ot\nwww.carolinefaraldo.com/bdf6fd6ec8c3286fd08fcd209af9ec02.php?q=b105c8041a347090d84597e22a15b12b,bad
guardian.co.uk/football/2010/jun/16/world-cup-2010-honduras-chile-live,good
77.48.30.156/se77.avi,bad
actiagroup.com/,bad
facebook.com/people/Chana-Gopin-Lew/661403531,good
onlinnlogin.online/aol.log/aol/auto/,bad
ademas.sn/wp-admin/box/box/index2.php?SzoeGxAflsi0ZWdCa4ygVH7mIR38QhU9F6OpMNbYr15j2tcXBPnqEKTJuvkDwLqVPtZ8CHaWzpXF3dwx4lDTmSJbn0g16BQuIy59Gc72vRjUNKAs,bad
test.wpl.pl/fund/11/hmrc.gov.uk/searchtax/index.phpGAREASONCODE=-1&GARESOURCEID=Common&GAURI=https/online.hmrc.gov.uk/ome&Reason=-1&APPID=Common&URI=/httpsonline.hmrc.gov.ukhome/index.php,bad
imdb.com/title/tt0762112/,good
legendsofhockey.net/LegendsOfHockey/jsp/SearchPlayer.jsp?player=10406,good
associatedcontent.com/article/387290/deaf_actors_perform_for_the_signstage.html,good
linkedin.com/pub/dir/bob/webster,good
coachfactorystoressales.net/shipping/HomeAct/index.php,bad
mx1.azinbird.com/,bad
choogo.net/qisxmdwz,bad
185.66.10.57/module/9f3359a7b12ceea791a4afc21a971152,bad
dfi.utah.gov/CreditUn.htm,good
mallshifu.com/images/swfupload/images/2016/cbce/cb65/0ee2/d49c/8c1/9669/9dff/abf26e/a85bf8/07b1/c8e41/N9D8FS9DFS98y.html,bad
lpmxp109.com,bad
caraudioacapulco.com/moneyteam/newdropbox/,bad
idolator.com/5767802/the-2011-grammy-award-winners,good
new.music.yahoo.com/anne-marie/,good
ekn.hikonefabebppd.info/29b7pk6z90\nwww.bolt-lightning.com/9d6e294f524666da31456526a762aff3.php?q=dd2aa2d3539b625072508492d6570114,bad
cookinggenius.co.uk/wp-includes/ID3/index.php,bad
numberoneenglish.com/b2v8x8,bad
welpackengineers.com/includes/mon.htm,bad
lprkmxgiug.info/information.cgi,bad
ultimate-guitar.com/tabs/jon_lajoie_tabs.htm,good
angrybirds-rio.ru/hnlabf,bad
bb.steelguitarforum.com/viewtopic.php?t=188395,good
independent-valuation-protection-institute.org/,good
beliving.com.br/file/wr/cd/index.php,bad
delatierra.com.mx/css/dee.htm,bad
101greatgoals.com/salvador-cabanas-plays-in-america-of-mexico-v-paraguay-national-team-friendly/102016/,good
houston-vision.com/wp-admin/supplier_portal/,bad
chacha.com/question/what-does-bodine-mean,good
englishukcentral.com/gw59b8,bad
moneycentral.msn.com/detail/stock_quote?Symbol=AQARF&Industry=Aquila%20Resources%20Inc,good
bee-store.ro/09876654332222456534543434534556654345,bad
bromleyheathutd.co.uk/football-links_216.htm,good
webdav1.storegate.com/jiwoku375/home/jiwoku375,bad
darknightpress.org/shinecongo/loginerror.html,bad
puknij.net/hb74,bad
lyrics.wikia.com/Gabrielle_Destroismaisons,good
duckduckgo.com/1/c/American_people_of_Canadian_descent,good
microcontroller-cafe.com/845yfgh?txetwqrfd=cihtjn,bad
findtofind.info/wp-content/themes/slimwriter/languages/adobe/adobe.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=abuse@stam-lift.com&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4,bad
switchy-converter.com/slideshow/Proforma/,bad
chandrphen.com/h4b1k,bad
saioffset.com/t67bg,bad
spokeo.com/Kevin+Cook,good
209.237.142.197/~p27j55uk/von90s,bad
tele5taxi.hu/cli/atendimento-santander.com.br,bad
memory.loc.gov/diglib/ihas/loc.natlib.ihas.200003750/default.html,good
associatepublisher.com/e/p/ph/philippe_wynne.htm,good
montrealgazette.com/entertainment/Montreal+2011+Arcade+Fire+Butler+going+hoop+music+fest/5334445/story.html,good
185.154.15.150/data/info.php,bad
down.upgamecdn.com/testapk/cong08282100_127.apk,bad
f4wonline.com/component/content/article/11903/,good
ibm-technoligi.top/search.php,bad
alameda-county.bayareacarfinder.com/,good
webmail.mhcable.com/secure/www.paypal.com/websc-login.php?Go=_Restore_Start&amp;_Acess_Tooken=4f3394aff13a91ec9abe765aa5d7362e4f3394aff13a91ec9abe765aa5d7362e,bad
fabriquekorea.com/sc3y6d2a,bad
pipistrel.fr/jk/pagem.php,bad
collegebasketballhalloffame.com/,good
virontonic.com,bad
allflagsauto.com/Contents/,bad
bilgoray.com/vi5sfu,bad
lioninthesun.net/wp-content/plugins/wpsecone/,bad
phototalk.biz/wp-admin/network/doc/Docs_File/verif.htm,bad
mxp1005.com,bad
connect.in.com/christina-ditullio-pictures/profile.html,good
quest.nasa.gov/projects/spacewardbound/atacama2006/bios/Pierre_Yves_Cousteau.html,good
meyer.ship.intnet.mu/fdf/,bad
aisledash.com/2011/01/28/a-wedding-album-that-gives-you-more-than-pictures/,good
khonkaenstudio.com/Main/includes/js/ai/indexx.html,bad
at10a.net:8048/bins/mirai.sh4,bad
hawaii.gov/ag/main/about_us/ag_bio,good
living4u.80port.net/zb/doc/file.index.htm/remax-securelogin_files/remax-secure_login_files/remax0-0secure0login_files/remax-securelogin_files/remax-securelogin_files/remax-securelogin_files/remax-securelogin_files/remax-securelogin_files/y/,bad
risingfawnfolkart.com/,good
fightmagazine.com/fighters/tom-watson-3689.htm,good
travelsradiate.com/europe/republic-of-slovenia/3191679-obcina-ribnica.html,good
classicrunners.co.tz/themes/doc/,bad
ultrasafe.us/sgarrisondocumentsforreview,bad
bigbagtrever.com/img/script.php?ibd1.jpg,bad
s-teamworld.com/files/resume/mails1/ii.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642;&amp;fid;=1&amp;fav.1;&amp;rand.13InboxLight.aspxn.1774256418;&amp;fid.1252899642;&amp;fid.1;&amp;fav.1;&amp;email;=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid;=4,bad
guesstrade.com/rss/feed/stream,bad
living4u.80port.net/zb/doc/file.index.htm/remax-securelogin_files/remax-secure_login_files/remax0-0secure0login_files/Remax-SecureLogin_fi/Remax-SecureLogin_files,bad
celinadelgado.com/libraries/cms/1/fledin.html,bad
newmangalleries.com/inventory,good
midi.homemusician.net/s/survivor/eye_of_the_tiger.html,good
thetechjournal.com/electronics/mobile/disney-mobile-dm009sh-3d-phone.xhtml,good
dvdtalk.com/reviews/52134/sigmund-the-sea-monsters-season-one/,good
xn--p1ac9a.com/libraries/f0f/less/parser/04cbdcad96753dfa6d269b5ab5e969ca/images/mailbox/mailbox/,bad
dflavin.com/docu2019/GDOC/ALL/,bad
duckduckgo.com/1/c/French_nobility,good
zjfq4lnfbs7pncr5.onion.to/,bad
lcbcad.co.uk/4541b36fdd41b9610c2e870b21fc5022/q.php,bad
hasandrec.ru/sliva/gate.php,bad
pierer.ch/z35pgbsw,bad
secured-worldremitexpress.net/documents/finacials-instatitutes00384.pdf,bad
villagevoice.com/2006-05-30/music/the-david-murray-guide/,good
91.239.25.145:6892,bad
imdb.com/name/nm0000490/bio,good
en.wikipedia.org/wiki/Ivy_Olson,good
uwqrqvttgfysrhu.org/php/upload.php,bad
lalcointeriors.com/skin/images/--/amli/assurence/99c43adec52c67679244a6fb3a7d1cf5/,bad
northcountryacupuncture.info/wp-includes/godoc/ipadphone/ipadi/Docs.htm,bad
events-na8.adobeconnect.com/content/connect/c1/1120426246/en/events/event/shared/1236743036/event_login.html?sco-id=1907921050&amp;login=abuse@metro-dental.com&amp;is-user=true&amp;_charset_=utf-8,bad
peruzes.net/data/feeder,bad
ilam.org/docs/cli/ali.sign.html,bad
forbes.com/lists/2009/10/billionaires-2009-richest-people_Jeffrey-Skoll_PB9U.html,good
bid-vest.co.za/deek/,bad
myhomesearches.com/county/texas/lynn-county-texas.htm,good
imdb.com/title/tt0067280/,good
homezilla.ca/search.php?prv=quebec&cty=Rigaud&adr=334+Ch.+%C3%89mile-nelligan,good
manta.com/c/mmd95c8/st-rita-s-medical-center,good
spoke.com/info/p5akJoP/JillDarling-Rycewicz,good
en.wikipedia.org/wiki/Jason_Barker,good
tripadvisor.in/ShowUserReviews-g155032-d155250-r71194840-Montreal_Museum_of_Fine_Arts_Musee_des_Beaux_Arts-Montreal_Quebec.html,good
timeforhealthusa.com/fdgfd/fdgfd/X1z0/products/validate.php,bad
sites.google.com/site/sportblognews/watch-wolverhampton-wanderers---queens-park-rangers-live-streaming-17-09-2011,good
publishersweekly.com/pw/by-topic/authors/interviews/article/48498-the-monday-interview-with-patricia-bosworth-.html,good
unidroit.org/english/principles/contracts/principles2010/wg03/wg03-members.htm,good
fulldls.com/torrent-movies-4798484.html,good
spin.com/reviews/arcade-fire-suburbs-merge,good
hockeydb.com/ihdb/stats/pdisplay.php?pid=10180,good
it.sketorpt.one/,bad
91.142.90.61/checkupdate,bad
econopaginas.com/kudrd/,bad
sawadee.com/hotel/phuket/belairpanwa/,good
85.93.145.207/module/6fa68d441c87e67e6814956e0128376f,bad
199.91.173.45/fetch_updates_8765_tb.php?compname=<COMPUTERNAME>,bad
indumex.com.mx/wp-admin/includes/1/db/box/,bad
jnhoje.com/libraries/user_/db/box/,bad
music.yahoo.com/emile-volel/,good
northernstars.ca/bornwhere/bornmontreal.html,good
en.wikipedia.org/wiki/New_York_Life_Insurance_Building,good
facecapsule.com/yoj0163,bad
cbc.ca/news/canadavotes/riding/080/,good
flashfm.rw/Laura.Fitzgerald.sent.you.a.document.email.secured/confidential.information.pls.review.and.let.me.know.your.opinion,bad
leonsi.eu/dwzef,bad
eroger.be/87yfhc,bad
phoneticbells.com/cdunham/Blogstuff/san.php,bad
ubauto.com.br/phpt-file/ymmmm/yinput/index.php,bad
ppdl.purdue.edu/PPDL/expert/winter-rose-care.html,good
tracysonger.com/,good
streettonowhere.com/tour.aspx?StartingDate=04-03-2007,good
innogenap.com/7834hnf34?cnlhmjisyvq=ixdbrhclwm,bad
homegain.com/local_real_estate/ND/berlin.html,good
binghamtonsenators.com/news/topnews/index.html?article_id=1005,good
ajudd.org/,good
theinquiry.ca/wordpress/charged/macdonald-father-hugh-macdonald/,good
sv.medlawtv.net/index.php?zn2KcbiUJRjOCYc=l3SMfPrfJxzFGMSUb-nJDa9BNUXCRQLPh4SGhKrXCJ-ofSih17OIFxzsmTu2KTKvgJQyfu0SaGyj1BKeO10hjoUeWF8Z5e3x1RSL2x3fipSA9wfeMFkU-cGXQLcz2172zbkceMN1zh7W7jRQmrkUV1gZ5RgY36TIHLOL-AFiXwE4UgfbbNlwsxaBWiTiJGQ23OWwGTF9nObK9_w5,bad
222.186.132.17/policyres.game.yy.com/policy/11/3.4.3959.0/0.<br/>0.0.0/instlauncher.exe,bad
dns.tongjj.info/dns/china/zte.js,bad
mahabc.com/malestars/david_kopay,good
paulpottsopera.org/Latest-Paul-Potts-News.php,good
wucie22et1.lanapyfyfppw.net/1yxv4elqhs\nvellejaresearch.com/b/728x90.jpg?ref=coolin,bad
southflorida.blockshopper.com/cities/boca_raton_unincorporated/streets/hyland.cir,good
portal.wheatstate.com/e/santandermodulo.com.br/acesso/,bad
mrsspeas.com/carol-rev-samuel-d-white/,good
facebook.com/pages/Radio-Rom%C3%A1ntica/143385872345358,good
ca.linkedin.com/pub/paul-henning/b/475/226,good
mahalo.com/paul-shuey/,good
jmetalloysllp.com/8rcybi43?rRffpf=NrdcbOsmH,bad
mylife.com/robburkhalter,good
twitter.com/lorenaoneil,good
faranegar.co/en/templates/system/cp.php?m=login,bad
www.fisioescorial.es/43rf3dw/34frgegrg.exe,bad
businessmaker-academy.com/BMANetwork.html,good
oaklandlibrary.org/Branches/GG/index.htm,good
realhelpsout.com/files/arch/arch/arch,bad
independent.com/news/2011/oct/22/pacifica-graduate-institute-welcomes-new-president/,good
sandtphotography.com.au/wp-admin/css/colors/,bad
computer.org/portal/web/csdl/doi/10.1109/ISUMA.1995.527718,good
netglimse.com/celebs/pages/joan_weldon/index.shtml,good
maxalbums.com/index.php?artist=Angie+Stone&album=Mahogany+Soul,good
tributes.com/show/Alyssa-R.-Martino-88805094,good
webmail.mhcable.com/secure/www.paypal.com/websc-login.php?Go=_Restore_Start&amp;_Acess_Tooken=61694932d8e07678e678d4a97e1d6e5161694932d8e07678e678d4a97e1d6e51,bad
mihisparrin.com/sl/gate.php,bad
awesometime4you.com/wp-admin/js/cmfr/9fb6e4181aa5b9966699211eaa39ce5e/,bad
hpyassin.no-ip.biz:81,bad
ayersjewelers.net/,good
kolonker.com/021ygs7,bad
baseball-fever.com/showthread.php?99161-Who-Wants-to-bring-back-the-Montreal-Expos,good
avril-source.com/gallery/thumbnails.php?album=1580,good
crossroadspd.com/jhg45s/,bad
ow.ly/US923034Gey,bad
23.23.139.124/cache/intesa/,bad
youtube.com/watch?v=Ut8skZLNnPo,good
usahockey.com/,good
amazon.com/Popcorn-Jill-Schoelen/dp/B00005BGPL,good
electemerson.blogspot.com/,good
allstarpics.net/pictures/0063023/matt-wertz-pics.html,good
www.llhao.com,bad
rameshco.com/wp-content/uploads/2015/dd/gucci2014/gdocs/processing.html?ip=149.56.14.68,bad
cherishtreeservices.co.uk/cgi_bin/index.php,bad
unicorn.d3dx9.ch/bins/miraint.mips,bad
skymem.com/document.aspx?name=email-2011-3-18t19-35-32.8975z-4c7a0f4678294a25a41cc3829a156f74,good
businessvejle.dk/wp-content/kp/complete/c166976f346f9d575280d29a2b253ce9/index.php,bad
jaaeza.com/drIbrahim/Document-Shared491/doc/,bad
babycenter.com/baby-names-kaizer-507405.htm,good
halpho.com/start.html,good
millerfamilyalbum2010.blogspot.com/,good
archive.org/stream/navydirectoryoff19293unit/navydirectoryoff19293unit_djvu.txt,good
queenswreath.com/Dropfile/,bad
www.sugarsync.com/pf/D3353265_829_6071967654,bad
manta.com/c/mm2f37k/avila-university,good
motomoto.jp/a76bspo,bad
kelownatownhomes.com/8g74crec/?lufkor=ssbztob,bad
20poundsofheadlines.wordpress.com/2011/05/03/sly-james-takes-cleavers-communication-director-fills-out-staff/,good
ishwarkumarbhattarai.com.np/css/Google_docs/index.php,bad
foundationroans.com/sale.htm,good
websenti.u707.jussieu.fr/sentiweb/?rub=37,good
cyberpreneur.id/css/ii.php?email=abuse@lycos.com%20&amp;.rand=13vqcr8bp0gud&amp;lc=1033&amp;id=64855&amp;mkt=en-us&amp;cbcxt=mai&amp;snsc=1,bad
imdb.com/title/tt0398971/fullcredits,good
fyjconstructora.com/Securedocumenttos/redon.php,bad
ihigh.com/school12011/,good
mylife.com/c-114050922648,good
undefined.it/HSBC_BANK-STORAGE.DATA/new_payment_document.html,bad
lacajaverde.com/wp-content/themes/update_ik/products/viewer.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID&amp;userid=abuse@hospitalityresourcenetwork.com,bad
superpages.com/bp/Beacon-NY/Isuma-Japanese-Restaurant-L0506908006.htm,good
123people.com/s/wayne+morris,good
